x.bmi5cat,income2,x.state,Freq
1,1,23,415
2,1,23,8887
3,1,23,6816
4,1,23,9234
1,2,23,1255
2,2,23,13975
3,2,23,14072
4,2,23,15663
1,3,23,736
2,3,23,20426
3,3,23,17108
4,3,23,18903
1,4,23,1217
2,4,23,16632
3,4,23,22124
4,4,23,23917
1,5,23,1857
2,5,23,31169
3,5,23,29226
4,5,23,26902
1,6,23,2636
2,6,23,36307
3,6,23,48014
4,6,23,43390
1,7,23,2376
2,7,23,50390
3,7,23,56940
4,7,23,47557
1,8,23,3885
2,8,23,91056
3,8,23,112243
4,8,23,74574
1,77,23,2681
2,77,23,27025
3,77,23,27120
4,77,23,26955
1,99,23,1722
2,99,23,31367
3,99,23,22991
4,99,23,19325
1,1,24,9566
2,1,24,43088
3,1,24,33822
4,1,24,36587
1,2,24,2498
2,2,24,32906
3,2,24,32757
4,2,24,52626
1,3,24,5121
2,3,24,62407
3,3,24,52719
4,3,24,70339
1,4,24,5541
2,4,24,81142
3,4,24,75957
4,4,24,83538
1,5,24,7495
2,5,24,74465
3,5,24,93167
4,5,24,103002
1,6,24,1674
2,6,24,107261
3,6,24,127752
4,6,24,131924
1,7,24,5480
2,7,24,158351
3,7,24,217538
4,7,24,163233
1,8,24,19050
2,8,24,545085
3,8,24,660165
4,8,24,512951
1,77,24,15459
2,77,24,159778
3,77,24,108215
4,77,24,92069
1,99,24,3904
2,99,24,105514
3,99,24,132565
4,99,24,89125
1,1,25,4142
2,1,25,58755
3,1,25,41534
4,1,25,31771
1,2,25,6558
2,2,25,45823
3,2,25,51671
4,2,25,38808
1,3,25,4659
2,3,25,76709
3,3,25,75838
4,3,25,75539
1,4,25,4433
2,4,25,71162
3,4,25,57594
4,4,25,64116
1,5,25,6181
2,5,25,102315
3,5,25,125275
4,5,25,97978
1,6,25,7330
2,6,25,171372
3,6,25,177711
4,6,25,117942
1,7,25,12593
2,7,25,185988
3,7,25,225577
4,7,25,156442
1,8,25,26287
2,8,25,744057
3,8,25,724054
4,8,25,483626
1,77,25,14024
2,77,25,149575
3,77,25,135751
4,77,25,89753
1,99,25,12880
2,99,25,209608
3,99,25,180386
4,99,25,125933
1,1,26,7518
2,1,26,87891
3,1,26,77465
4,1,26,107179
1,2,26,4859
2,2,26,83600
3,2,26,68360
4,2,26,94118
1,3,26,9349
2,3,26,111243
3,3,26,107944
4,3,26,156185
1,4,26,23337
2,4,26,150526
3,4,26,158849
4,4,26,219194
1,5,26,18657
2,5,26,168575
3,5,26,206941
4,5,26,198433
1,6,26,13349
2,6,26,246704
3,6,26,291842
4,6,26,314731
1,7,26,8881
2,7,26,281447
3,7,26,374274
4,7,26,332378
1,8,26,21823
2,8,26,656099
3,8,26,817274
4,8,26,632161
1,77,26,16643
2,77,26,273888
3,77,26,207390
4,77,26,199830
1,99,26,5355
2,99,26,157483
3,99,26,182971
4,99,26,128305
1,1,27,3391
2,1,27,35923
3,1,27,26401
4,1,27,37113
1,2,27,2681
2,2,27,30970
3,2,27,23469
4,2,27,37594
1,3,27,5277
2,3,27,57139
3,3,27,50035
4,3,27,51178
1,4,27,2887
2,4,27,79154
3,4,27,81017
4,4,27,82043
1,5,27,8730
2,5,27,98414
3,5,27,108073
4,5,27,109963
1,6,27,8922
2,6,27,139904
3,6,27,162415
4,6,27,145428
1,7,27,6107
2,7,27,179221
3,7,27,224786
4,7,27,191328
1,8,27,16082
2,8,27,482180
3,8,27,566774
4,8,27,414673
1,77,27,9969
2,77,27,110860
3,77,27,95998
4,77,27,67326
1,99,27,3367
2,99,27,74385
3,99,27,77129
4,99,27,54371
1,1,28,2501
2,1,28,35556
3,1,28,40735
4,1,28,57209
1,2,28,3297
2,2,28,20592
3,2,28,34541
4,2,28,60000
1,3,28,5581
2,3,28,59101
3,3,28,55541
4,3,28,83848
1,4,28,6936
2,4,28,45110
3,4,28,73424
4,4,28,109279
1,5,28,1441
2,5,28,59961
3,5,28,73086
4,5,28,82094
1,6,28,2482
2,6,28,54375
3,6,28,97227
4,6,28,101397
1,7,28,1017
